Field: W43-MM2

SpectralWindow: 24
219.4274233~219.434995524GHz LSRK
219.446109594~219.473100907GHz LSRK
219.505954587~219.525740074GHz LSRK
219.535144287~219.551265795GHz LSRK

SpectralWindow: 26
230.333498322~230.372566817GHz LSRK

SpectralWindow: 20
219.813544761~219.82844496GHz LSRK
219.899526238~219.909541126GHz LSRK

SpectralWindow: 22
218.034978017~218.040594721GHz LSRK
218.046333528~218.058055345GHz LSRK
218.070509776~218.090534547GHz LSRK
218.101767956~218.11275716GHz LSRK
218.121304318~218.123502159GHz LSRK
218.138887044~218.144381646GHz LSRK
218.167336872~218.211659994GHz LSRK
218.220329255~218.228754311GHz LSRK
218.237423572~218.249145389GHz LSRK
218.269414365~218.271612206GHz LSRK
218.279426751~218.283822432GHz LSRK

SpectralWindow: 16
216.019936772~216.041426724GHz LSRK
216.056201067~216.079400448GHz LSRK
216.08684867~216.142038776GHz LSRK
216.156813118~216.201868758GHz LSRK
216.217986222~216.254861028GHz LSRK

SpectralWindow: 18
216.964553749~216.974077715GHz LSRK
216.986532132~216.998986549GHz LSRK
217.020232318~217.023406974GHz LSRK
217.055397731~217.069805782GHz LSRK
217.092272573~217.094714615GHz LSRK
217.106680624~217.118890836GHz LSRK
217.134764113~217.161870785GHz LSRK
217.183360759~217.191175295GHz LSRK

SpectralWindow: 30
231.447240392~231.580061513GHz LSRK
231.620103175~231.660144836GHz LSRK
232.226587855~232.327180322GHz LSRK
232.37503499~232.402380515GHz LSRK
232.48441709~232.507856112GHz LSRK
232.548874399~232.666069507GHz LSRK
232.760802218~232.839908916GHz LSRK

SpectralWindow: 28
230.956659248~230.982542136GHz LSRK
231.00232057~231.141990497GHz LSRK
231.161768931~231.171536059GHz LSRK
231.181547365~231.1957097GHz LSRK
231.220127519~231.234778211GHz LSRK
231.251382328~231.256021714GHz LSRK
231.267009733~231.272381653GHz LSRK
231.286788166~231.297287829GHz LSRK
231.307299135~231.432074192GHz LSRK
231.443306389~231.454538586GHz LSRK

